,title,isactual,length,public,cover,theme,goal,illustrated,bestseller,author,triggerw,genre,subgenre,rating,punctuation,saga,language,difficulty
40,Bajo la sombra del pecado,FALSE,long,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Erotic,8.139841004497898,0,,,
41,El instante eterno,TRUE,very_long,adult,soft,,,FALSE,FALSE,Author(Samuel Schilling),{ 3 2 4},Romance,Erotic,2.142024036342528,0,,,
42,Pasion adictiva,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Erotic,8.65216851452637,0,,,
43,El susurro del amor,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),{ 1 4 2},Romance,Erotic,9.088155542528241,0,,,
44,Entre llamas y suspiros,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),{ 2},Romance,Erotic,6.612546972124109,0,,,
45,El vertigo del placer,TRUE,medium,adult,hard,,,FALSE,TRUE,Author(Samuel Schilling),,Romance,Erotic,2.46123215878616,0,,,
46,Susurros del pasado,FALSE,short,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,8.58596306387691,0,,,
47,La promesa olvidada,FALSE,short,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,5.857206182437882,0,,,
48,El amor entre los siglos,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),{ 4 1},Romance,Historical_Romance,7.493807097987728,0,,,
49,El jardin de los enamorados,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,9.264023535474369,0,,,
50,Bajo el cielo eterno,TRUE,very_long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),{ 5 6 2},Romance,Historical_Romance,8.948716709857095,0,,,
51,El suspiro del caballero,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,1.1037130697868935,0,,,
52,El destino de dos corazones,FALSE,short,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,3.0520704104624032,0,,,
53,La dama y el pirata,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,4.573589720216262,0,,,
54,El encanto de la condesa,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,3.40491101077918,0,,,
55,La pasion prohibida,TRUE,very_long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),{ 5},Romance,Historical_Romance,1.324797950071058,0,,,
56,El secreto del castillo,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),{ 3 4 5 1 2},Romance,Historical_Romance,6.63988906903516,0,,,
57,El beso del caballero,FALSE,very_long,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),{ 3 2 1 5},Romance,Historical_Romance,4.169170098910978,0,,,
58,El susurro de la marquesa,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,9.496475148964686,0,,,
59,La promesa del duque,TRUE,very_long,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,8.027966504816888,0,,,
60,El encuentro en la mansion,FALSE,short,adult,hard,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,4.7477591622767665,0,,,
61,El amor en tiempos de guerra,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,4.46543320160233,0,,,
62,El suspiro de la princesa,FALSE,medium,adult,soft,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,3.0317523301932976,0,,,
63,El corazon del corsario,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,8.276143946296251,0,,,
64,La venganza del conde,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,3.74577476841145,0,,,
65,El baile de los amantes,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,9.094292362343037,0,,,
66,El encuentro en el bosque,TRUE,very_long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),,Romance,Historical_Romance,2.778055427992733,0,,,
67,La pasion de la doncella,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Samuel Schilling),{ 3 6},Romance,Historical_Romance,1.3746879475578275,0,,,
68,El amor en la corte,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Daniel Jensen),,Romance,Historical_Romance,5.531177034381591,0,,,
69,El susurro de la historia,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,6.998919085068694,0,,,
70,El eco de los tiempos,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,1.0237301737595184,0,,,
71,La memoria de los siglos,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,4.492997521357102,0,,,
72,El legado de los ancestros,FALSE,long,adult,soft,,,FALSE,TRUE,Author(Susanna Doyle),,Historical,Realistic,1.504679475497824,0,,,
73,La sombra del pasado,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,5.110768738032882,0,,,
74,El suspiro de la nostalgia,FALSE,long,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,9.790827079175363,0,,,
75,El latido de la historia,FALSE,long,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,8.386451949988402,0,,,
76,El lienzo de la vida,TRUE,short,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,2.2182323391865837,0,,,
77,El retrato de una era,TRUE,short,adult,soft,,,FALSE,TRUE,Author(Terrance Fernandez),,Historical,Realistic,9.716942608898439,0,,,
78,El reflejo de los recuerdos,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,3.8868579110275285,0,,,
79,El tesoro olvidado,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,6.845471856513835,0,,,
80,La melodia del tiempo,FALSE,very_long,adult,pocket,,,FALSE,TRUE,Author(Susanna Doyle),,Historical,Realistic,6.521279573719506,0,,,
81,El susurro de los antepasados,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,6.841238972069641,0,,,
82,La huella de los anos,FALSE,short,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,2.3783041077988276,0,,,
83,El susurro del destino,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,1.396348187706911,0,,,
84,La mirada del pasado,FALSE,very_long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,9.14401518733204,0,,,
85,El eco de los acontecimientos,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,3.605830856865279,0,,,
86,El legado de una epoca,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,7.623018717024637,0,,,
87,El suspiro de la historia,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,1.778384298217873,0,,,
88,La memoria de la humanidad,FALSE,medium,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,9.839202012502868,0,,,
89,El latido de la memoria,TRUE,medium,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,2.903510234396225,0,,,
90,El retrato de una generacion,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,1.7369785534593758,0,,,
91,El reflejo de la vida pasada,FALSE,short,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,7.55106956003484,0,,,
92,El tesoro de la historia,FALSE,very_long,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,5.029032051992579,0,,,
93,La melodia de los siglos,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,2.987011248002804,0,,,
94,El susurro de los ancestros,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,3.3907119932579874,0,,,
95,La huella del tiempo,TRUE,short,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,3.8429070254796276,0,,,
96,El susurro del legado,TRUE,short,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,8.852674544109835,0,,,
97,La mirada de la historia,FALSE,short,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,6.380491251874989,0,,,
98,El eco de los momentos,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,5.974652591626398,0,,,
99,El legado de una era,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,3.703315218376601,0,,,
100,El suspiro del pasado,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,2.3295927835417993,0,,,
101,La memoria de los hombres,TRUE,very_long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Realistic,2.164774940700977,0,,,
102,El latido de la nostalgia,FALSE,very_long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,8.710755556045202,0,,,
103,El retrato de una epoca,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,5.569465370119895,0,,,
104,La melodia del pasado,FALSE,medium,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Realistic,2.9489216601823633,0,,,
105,Los secretos enterrados,TRUE,short,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,5.14479728500971,0,,,
106,El eco de los ancestros,FALSE,very_long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,1.3708216627468435,0,,,
107,El legado perdido,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,8.005060466844505,0,,,
108,El laberinto del tiempo,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,1.6039591416901016,0,,,
109,El destino de los valientes,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,7.383668666626519,0,,,
110,El amanecer de la revolucion,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,2.031039234659254,0,,,
111,El vuelo de las aguilas,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,8.26459163243207,0,,,
112,La fuerza de la resistencia,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,4.522560281093616,0,,,
113,Los hilos del destino,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,3.631593029420801,0,,,
114,El amargo sabor de la guerra,FALSE,very_long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,4.050643659814233,0,,,
115,La melodia de la libertad,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,8.971799717046796,0,,,
116,El ultimo suspiro,FALSE,short,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,1.6875766407750818,0,,,
117,El despertar de la civilizacion,TRUE,short,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,2.2087703402569288,0,,,
118,La caida de un imperio,FALSE,very_long,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,8.22950852319803,0,,,
119,La esperanza en ruinas,FALSE,short,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,5.716679080786537,0,,,
120,El secreto de la realeza,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,1.3256884768879929,0,,,
121,El rastro de la traicion,FALSE,short,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,4.578734483089125,0,,,
122,La lucha por la igualdad,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,8.00197317585705,0,,,
123,El susurro de los dioses,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,9.890239484571879,0,,,
124,La busqueda del tesoro perdido,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,1.8983180412914513,0,,,
125,El destino de los elegidos,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,9.416380589750412,0,,,
126,El legado de los antepasados,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,5.225481884338587,0,,,
127,La danza de la revolucion,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,2.2556162796392947,0,,,
128,La balada de los valientes,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,5.3186350338247,0,,,
129,El misterio de la historia,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,5.183343107313541,0,,,
130,La guerra en las sombras,FALSE,very_long,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,4.750179690285792,0,,,
131,El despertar de la esperanza,FALSE,very_long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,5.444540689707681,0,,,
132,El renacimiento de una nacion,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,9.193183077873895,0,,,
133,El grito de la libertad,FALSE,very_long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,7.138277113156903,0,,,
134,El ultimo acto,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,2.9192483645459575,0,,,
135,La caida de una dinastia,TRUE,short,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,3.8674946248987685,0,,,
136,La conspiracion del poder,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,5.775049585498257,0,,,
137,La senda de la venganza,FALSE,very_long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,7.150299785447398,0,,,
138,El rugido del leon,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,3.0776793461166925,0,,,
139,El destino de los desterrados,FALSE,short,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,8.581764761301557,0,,,
140,La llama de la rebelion,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,5.589757097236542,0,,,
141,El ultimo testamento,TRUE,short,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,7.221269570312011,0,,,
142,La sombra del imperio,FALSE,very_long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,6.490967250973422,0,,,
143,El misterio de la realeza,TRUE,very_long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,4.026791076800427,0,,,
144,La promesa incumplida,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,3.6761584520393047,0,,,
145,La fuerza de la esperanza,FALSE,short,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,1.3683004129953935,0,,,
146,El despertar de la conciencia,TRUE,medium,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,9.614921451154741,0,,,
147,El legado oculto,FALSE,short,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,2.279287445022533,0,,,
148,La batalla por la libertad,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,7.405756284099906,0,,,
149,El ultimo aliento,FALSE,short,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,4.480405249348337,0,,,
150,La caida de una era,TRUE,medium,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,9.1841377162795,0,,,
151,El secreto del trono,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,6.390966869507457,0,,,
152,La pasion en tiempos oscuros,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,7.69808260190697,0,,,
153,El rastro de la ambicion,FALSE,very_long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,5.317727934996201,0,,,
154,La lucha por los derechos,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,7.629063945792991,0,,,
155,El susurro de los antiguos,FALSE,very_long,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,5.98446822806913,0,,,
156,La busqueda de la reliquia perdida,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,6.179607084169904,0,,,
157,El destino de los olvidados,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,6.6996985291896936,0,,,
158,El legado de los martires,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,1.3015699815800725,0,,,
159,La danza de la revuelta,FALSE,short,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,4.69251457355136,0,,,
160,La balada de los caidos,FALSE,medium,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,9.519673578748144,0,,,
161,El enigma de la historia,FALSE,medium,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,9.087727310109637,0,,,
162,La guerra en la penumbra,FALSE,long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,6.763989481094724,0,,,
163,El renacer de una civilizacion,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,7.25448574251867,0,,,
164,El grito de la emancipacion,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,6.069801357597283,0,,,
165,El ultimo capitulo,FALSE,long,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,2.3112631970422233,0,,,
166,La caida de un linaje,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,8.979985844360527,0,,,
167,El amor en epocas turbulentas,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,8.341693983293535,0,,,
168,El rugido del tigre,FALSE,medium,adult,pocket,,,FALSE,TRUE,Author(Susanna Doyle),,Historical,Fiction_History,2.8907171543088706,0,,,
169,El ultimo legado,TRUE,medium,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,6.131864088363301,0,,,
170,La sombra del reino,TRUE,long,adult,hard,,,FALSE,TRUE,Author(Terrance Fernandez),,Historical,Fiction_History,3.9181213852134134,0,,,
171,El misterio de la monarquia,TRUE,very_long,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,8.888798379702129,0,,,
172,La fuerza de la fe,TRUE,long,adult,pocket,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,1.2107494580197151,0,,,
173,El legado escondido,FALSE,short,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,6.224728231649851,0,,,
174,La batalla por la independencia,TRUE,medium,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,1.5942071357875336,0,,,
175,El ultimo respiro,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,2.0782242417588104,0,,,
176,La caida de una epoca,FALSE,very_long,adult,hard,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,8.06219842525337,0,,,
177,El secreto del poder,FALSE,very_long,adult,pocket,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,1.7148992415314104,0,,,
178,La pasion en tiempos de adversidad,TRUE,long,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,8.16553933487953,0,,,
179,El rastro de la codicia,TRUE,long,adult,soft,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,4.820895583127057,0,,,
180,La lucha por la justicia,FALSE,short,adult,soft,,,FALSE,FALSE,Author(Susanna Doyle),,Historical,Fiction_History,1.0586925228156012,0,,,
181,El susurro de los dioses antiguos,TRUE,short,adult,hard,,,FALSE,FALSE,Author(Terrance Fernandez),,Historical,Fiction_History,9.554624103607571,0,,,
